Time (seconds),strength
0.77,1141
0.87,1049
0.97,1009
1.08,1007
1.18,989
1.28,1069
1.39,1011
1.49,1047
1.60,1049
1.70,1043
1.80,1047
1.91,1048
2.01,1012
2.12,1044
2.22,1042
2.32,1052
2.43,1037
2.53,1041
2.64,1023
2.74,1032
2.84,1036
2.95,1035
3.05,1009
3.16,1045
3.28,1040
3.38,1050
3.49,1021
3.59,1080
3.70,1012
3.80,1029
3.90,1002
4.01,1051
4.11,1049
4.22,960
4.32,1021
4.42,947
4.53,1065
4.63,1038
4.74,1070
4.84,1393
4.94,2892
5.05,1128
5.15,1101
5.26,1030
5.36,989
5.46,1029
5.57,1045
5.67,1000
5.78,1047
5.88,1014
6.00,1030
6.11,1019
6.21,1037
6.32,1027
6.42,1077
6.52,1044
6.63,1014
6.73,956
6.84,1208
6.94,980
7.04,954
7.15,1029
7.25,1008
7.36,1167
7.46,985
7.56,803
7.67,1321
7.77,1065
7.88,1201
7.98,971
8.08,959
8.19,1100
8.29,1111
8.40,1040
8.50,882
8.60,1035
8.73,1068
8.83,1049
8.94,1160
9.04,999
9.14,1008
9.25,991
9.35,1091
9.46,1064
9.56,1047
9.66,1052
9.77,963
9.87,1005
9.98,1149
10.08,1102
10.18,913
10.29,926
10.39,1069
10.50,1044
10.60,998
10.70,1017
10.81,1155
10.91,1360
11.02,1139
11.12,896
11.22,800
11.35,1017
11.45,1106
11.56,1277
11.66,1224
11.76,825
11.87,1047
11.97,1157
12.08,1028
12.18,1047
12.28,1035
12.39,1049
12.49,1013
12.60,1090
12.70,1161
12.80,1009
12.91,989
13.01,1060
13.12,1031
13.22,1133
13.32,1019
13.43,1052
13.53,1013
13.64,1054
13.74,1186
13.86,1061
13.97,1459
14.07,1096
14.18,1006
14.28,1020
14.38,992
14.49,1031
14.59,1082
14.70,1029
14.80,1021
14.90,1041
15.01,1035
15.11,1018
15.22,1027
15.32,1035
15.42,997
15.53,1053
15.63,1027
15.74,1033
15.84,1028
15.94,1045
16.05,1054
16.15,1021
16.28,1024
16.38,1029
16.48,1045
16.59,1029
16.69,1009
16.80,1034
16.90,1036
17.01,1015
17.11,1043
17.21,1018
17.32,1040
17.42,1037
17.52,1032
17.63,1015
17.73,1082
17.84,1024
17.94,985
18.04,1227
18.15,976
18.25,981
18.36,1167
18.46,1083
18.56,814
18.67,941
18.79,1210
18.90,1024
19.00,1009
19.10,1069
19.21,1137
19.31,1041
19.42,898
19.52,1043
19.62,1082
19.73,1051
19.83,1062
19.94,1023
20.04,1035
20.14,936
20.25,1057
20.35,1037
20.46,1063
20.56,934
20.66,996
20.77,1034
20.87,979
20.98,1037
21.08,1028
21.18,1013
21.31,971
21.41,1011
21.52,1014
21.62,1083
21.72,925
21.83,1009
21.93,1141
22.04,975
22.14,994
22.24,1075
22.35,1070
22.45,1062
22.56,920
22.66,1068
22.76,973
22.87,966
22.97,969
23.08,1005
23.18,1116
23.28,1086
23.39,796
23.49,1302
23.60,1063
23.70,1097
23.82,1076
23.93,1174
24.03,1044
24.14,1056
24.24,934
24.34,1107
24.45,972
24.55,1062
24.66,1025
24.76,881
24.86,1312
24.97,1082
25.07,1004
25.18,998
25.28,999
25.38,1054
25.49,1008
25.59,1032
25.70,1000
25.80,1031
25.90,1022
26.01,1080
26.11,1028
26.22,1023
26.34,1039
26.44,1000
26.54,1037
26.65,1009
26.75,1042
26.86,1030
26.96,1015
27.06,1051
27.17,1033
27.27,999
27.38,1059
27.48,1034
27.58,1032
27.69,1028
27.79,1017
27.90,1048
28.00,1022
28.10,1023
28.21,1030
28.31,1036
28.42,1025
28.52,1019
28.62,1024
28.75,1025
28.85,1015
28.96,1035
29.06,1021
29.16,1021
29.27,1021
29.37,1037
29.48,1019
29.58,1029
29.68,1027
29.79,1033
29.89,1029
30.00,1023
30.10,1034
30.20,1029
30.31,1019
30.41,1024
30.52,1029
30.62,1023
30.72,1034
30.83,1031
30.93,1027
31.04,1026
31.16,1020
31.26,1027
31.37,1026
31.47,1017
31.58,1028
31.68,1022
31.78,1032
31.89,1023
31.99,1028
32.10,1024
32.20,1020
32.30,1035
32.41,1030
32.51,1018
32.62,1040
32.72,1031
32.82,1026
32.93,1000
33.03,1039
33.14,1037
33.24,1029
33.34,1033
33.45,1027
33.57,1026
33.68,1027
33.78,1018
33.88,1032
33.99,1081
34.09,953
34.20,1052
34.30,1078
34.40,1186
34.51,2299
34.61,1676
34.72,713
34.82,939
34.92,1098
35.03,997
35.13,976
35.24,1011
35.34,957
35.44,1070
35.55,921
35.65,926
35.76,1211
35.86,1017
35.96,1072
36.09,1038
36.19,986
36.30,1095
36.40,1056
36.50,1026
36.61,1030
36.71,1048
36.82,1025
36.92,1016
37.02,1078
37.13,1013
37.23,1050
37.34,968
